# Keller K(5) Vertex Coordinates
# Total vertices: 1024
# Format: vertex_id [x1,x2,x3,x4,x5]
##################################################

  94 [0,1,1,3,2]
  95 [0,1,1,3,3]
  96 [0,1,2,0,0]
  97 [0,1,2,0,1]
  98 [0,1,2,0,2]
  99 [0,1,2,0,3]
 100 [0,1,2,1,0]
 101 [0,1,2,1,1]
 102 [0,1,2,1,2]
 103 [0,1,2,1,3]
 104 [0,1,2,2,0]
 105 [0,1,2,2,1]
 106 [0,1,2,2,2]
 107 [0,1,2,2,3]
 108 [0,1,2,3,0]
 109 [0,1,2,3,1]
 110 [0,1,2,3,2]
 111 [0,1,2,3,3]
 112 [0,1,3,0,0]
 113 [0,1,3,0,1]
 114 [0,1,3,0,2]
 115 [0,1,3,0,3]
 116 [0,1,3,1,0]
 117 [0,1,3,1,1]
 118 [0,1,3,1,2]
 119 [0,1,3,1,3]
 120 [0,1,3,2,0]
 121 [0,1,3,2,1]
 122 [0,1,3,2,2]
 123 [0,1,3,2,3]
 124 [0,1,3,3,0]
 125 [0,1,3,3,1]
 126 [0,1,3,3,2]
 127 [0,1,3,3,3]
 128 [0,2,0,0,0]
 129 [0,2,0,0,1]
 130 [0,2,0,0,2]
 131 [0,2,0,0,3]
 132 [0,2,0,1,0]
 133 [0,2,0,1,1]
 134 [0,2,0,1,2]
 135 [0,2,0,1,3]
 136 [0,2,0,2,0]
 137 [0,2,0,2,1]
 138 [0,2,0,2,2]
 139 [0,2,0,2,3]
 140 [0,2,0,3,0]
 141 [0,2,0,3,1]
 142 [0,2,0,3,2]
 143 [0,2,0,3,3]
 144 [0,2,1,0,0]
 145 [0,2,1,0,1]
 146 [0,2,1,0,2]
 147 [0,2,1,0,3]
 148 [0,2,1,1,0]
 149 [0,2,1,1,1]
 150 [0,2,1,1,2]
 151 [0,2,1,1,3]
 152 [0,2,1,2,0]
 153 [0,2,1,2,1]
 154 [0,2,1,2,2]
 155 [0,2,1,2,3]
 156 [0,2,1,3,0]
 157 [0,2,1,3,1]
 158 [0,2,1,3,2]
 159 [0,2,1,3,3]
 160 [0,2,2,0,0]
 161 [0,2,2,0,1]
 162 [0,2,2,0,2]
 163 [0,2,2,0,3]
 164 [0,2,2,1,0]
 165 [0,2,2,1,1]
 166 [0,2,2,1,2]
 167 [0,2,2,1,3]
 168 [0,2,2,2,0]
 169 [0,2,2,2,1]
 170 [0,2,2,2,2]
 171 [0,2,2,2,3]
 172 [0,2,2,3,0]
 173 [0,2,2,3,1]
 174 [0,2,2,3,2]
 175 [0,2,2,3,3]
 176 [0,2,3,0,0]
 177 [0,2,3,0,1]
 178 [0,2,3,0,2]
 179 [0,2,3,0,3]
 180 [0,2,3,1,0]
 181 [0,2,3,1,1]
 182 [0,2,3,1,2]
 183 [0,2,3,1,3]
 184 [0,2,3,2,0]
 185 [0,2,3,2,1]
 186 [0,2,3,2,2]
 187 [0,2,3,2,3]
 188 [0,2,3,3,0]
 189 [0,2,3,3,1]
 190 [0,2,3,3,2]
 191 [0,2,3,3,3]
 192 [0,3,0,0,0]
 193 [0,3,0,0,1]
 194 [0,3,0,0,2]
 195 [0,3,0,0,3]
 196 [0,3,0,1,0]
 197 [0,3,0,1,1]
 198 [0,3,0,1,2]
 199 [0,3,0,1,3]
 200 [0,3,0,2,0]
 201 [0,3,0,2,1]
 202 [0,3,0,2,2]
 203 [0,3,0,2,3]
 204 [0,3,0,3,0]
 205 [0,3,0,3,1]
 206 [0,3,0,3,2]
 207 [0,3,0,3,3]
 208 [0,3,1,0,0]
 209 [0,3,1,0,1]
 210 [0,3,1,0,2]
 211 [0,3,1,0,3]
 212 [0,3,1,1,0]
 213 [0,3,1,1,1]
 214 [0,3,1,1,2]
 215 [0,3,1,1,3]
 216 [0,3,1,2,0]
 217 [0,3,1,2,1]
 218 [0,3,1,2,2]
 219 [0,3,1,2,3]
 220 [0,3,1,3,0]
 221 [0,3,1,3,1]
 222 [0,3,1,3,2]
 223 [0,3,1,3,3]
 224 [0,3,2,0,0]
 225 [0,3,2,0,1]
 226 [0,3,2,0,2]
 227 [0,3,2,0,3]
 228 [0,3,2,1,0]
 229 [0,3,2,1,1]
 230 [0,3,2,1,2]
 231 [0,3,2,1,3]
 232 [0,3,2,2,0]
 233 [0,3,2,2,1]
 234 [0,3,2,2,2]
 235 [0,3,2,2,3]
 236 [0,3,2,3,0]
 237 [0,3,2,3,1]
 238 [0,3,2,3,2]
 239 [0,3,2,3,3]
 240 [0,3,3,0,0]
 241 [0,3,3,0,1]
 242 [0,3,3,0,2]
 243 [0,3,3,0,3]
 244 [0,3,3,1,0]
 245 [0,3,3,1,1]
 246 [0,3,3,1,2]
 247 [0,3,3,1,3]
 248 [0,3,3,2,0]
 249 [0,3,3,2,1]
 250 [0,3,3,2,2]
 251 [0,3,3,2,3]
 252 [0,3,3,3,0]
 253 [0,3,3,3,1]
 254 [0,3,3,3,2]
 255 [0,3,3,3,3]
 256 [1,0,0,0,0]
 257 [1,0,0,0,1]
 258 [1,0,0,0,2]
 259 [1,0,0,0,3]
 260 [1,0,0,1,0]
 261 [1,0,0,1,1]
 262 [1,0,0,1,2]
 263 [1,0,0,1,3]
 264 [1,0,0,2,0]
 265 [1,0,0,2,1]
 266 [1,0,0,2,2]
 267 [1,0,0,2,3]
 268 [1,0,0,3,0]
 269 [1,0,0,3,1]
 270 [1,0,0,3,2]
 271 [1,0,0,3,3]
 272 [1,0,1,0,0]
 273 [1,0,1,0,1]
 274 [1,0,1,0,2]
 275 [1,0,1,0,3]
 276 [1,0,1,1,0]
 277 [1,0,1,1,1]
 278 [1,0,1,1,2]
 279 [1,0,1,1,3]
 280 [1,0,1,2,0]
 281 [1,0,1,2,1]
 282 [1,0,1,2,2]
 283 [1,0,1,2,3]
 284 [1,0,1,3,0]
 285 [1,0,1,3,1]
 286 [1,0,1,3,2]
 287 [1,0,1,3,3]
 288 [1,0,2,0,0]
 289 [1,0,2,0,1]
 290 [1,0,2,0,2]
 291 [1,0,2,0,3]
 292 [1,0,2,1,0]
 293 [1,0,2,1,1]
 294 [1,0,2,1,2]
 295 [1,0,2,1,3]
 296 [1,0,2,2,0]
 297 [1,0,2,2,1]
 298 [1,0,2,2,2]
 299 [1,0,2,2,3]
 300 [1,0,2,3,0]
 301 [1,0,2,3,1]
 302 [1,0,2,3,2]
 303 [1,0,2,3,3]
 304 [1,0,3,0,0]
 305 [1,0,3,0,1]
 306 [1,0,3,0,2]
 307 [1,0,3,0,3]
 308 [1,0,3,1,0]
 309 [1,0,3,1,1]
 310 [1,0,3,1,2]
 311 [1,0,3,1,3]
 312 [1,0,3,2,0]
 313 [1,0,3,2,1]
 314 [1,0,3,2,2]
 315 [1,0,3,2,3]
 316 [1,0,3,3,0]
 317 [1,0,3,3,1]
 318 [1,0,3,3,2]
 319 [1,0,3,3,3]
 320 [1,1,0,0,0]
 321 [1,1,0,0,1]
 322 [1,1,0,0,2]
 323 [1,1,0,0,3]
 324 [1,1,0,1,0]
 325 [1,1,0,1,1]
 326 [1,1,0,1,2]
 327 [1,1,0,1,3]
 328 [1,1,0,2,0]
 329 [1,1,0,2,1]
 330 [1,1,0,2,2]
 331 [1,1,0,2,3]
 332 [1,1,0,3,0]
 333 [1,1,0,3,1]
 334 [1,1,0,3,2]
 335 [1,1,0,3,3]
 336 [1,1,1,0,0]
 337 [1,1,1,0,1]
 338 [1,1,1,0,2]
 339 [1,1,1,0,3]
 340 [1,1,1,1,0]
 341 [1,1,1,1,1]
 342 [1,1,1,1,2]
 343 [1,1,1,1,3]
 344 [1,1,1,2,0]
 345 [1,1,1,2,1]
 346 [1,1,1,2,2]
 347 [1,1,1,2,3]
 348 [1,1,1,3,0]
 349 [1,1,1,3,1]
 350 [1,1,1,3,2]
 351 [1,1,1,3,3]
 352 [1,1,2,0,0]
 353 [1,1,2,0,1]
 354 [1,1,2,0,2]
 355 [1,1,2,0,3]
 356 [1,1,2,1,0]
 357 [1,1,2,1,1]
 358 [1,1,2,1,2]
 359 [1,1,2,1,3]
 360 [1,1,2,2,0]
 361 [1,1,2,2,1]
 362 [1,1,2,2,2]
 363 [1,1,2,2,3]
 364 [1,1,2,3,0]
 365 [1,1,2,3,1]
 366 [1,1,2,3,2]
 367 [1,1,2,3,3]
 368 [1,1,3,0,0]
 369 [1,1,3,0,1]
 370 [1,1,3,0,2]
 371 [1,1,3,0,3]
 372 [1,1,3,1,0]
 373 [1,1,3,1,1]
 374 [1,1,3,1,2]
 375 [1,1,3,1,3]
 376 [1,1,3,2,0]
 377 [1,1,3,2,1]
 378 [1,1,3,2,2]
 379 [1,1,3,2,3]
 380 [1,1,3,3,0]
 381 [1,1,3,3,1]
 382 [1,1,3,3,2]
 383 [1,1,3,3,3]
 384 [1,2,0,0,0]
 385 [1,2,0,0,1]
 386 [1,2,0,0,2]
 387 [1,2,0,0,3]
 388 [1,2,0,1,0]
 389 [1,2,0,1,1]
 390 [1,2,0,1,2]
 391 [1,2,0,1,3]
 392 [1,2,0,2,0]
 393 [1,2,0,2,1]
 394 [1,2,0,2,2]
 395 [1,2,0,2,3]
 396 [1,2,0,3,0]
 397 [1,2,0,3,1]
 398 [1,2,0,3,2]
 399 [1,2,0,3,3]
 400 [1,2,1,0,0]
 401 [1,2,1,0,1]
 402 [1,2,1,0,2]
 403 [1,2,1,0,3]
 404 [1,2,1,1,0]
 405 [1,2,1,1,1]
 406 [1,2,1,1,2]
 407 [1,2,1,1,3]
 408 [1,2,1,2,0]
 409 [1,2,1,2,1]
 410 [1,2,1,2,2]
 411 [1,2,1,2,3]
 412 [1,2,1,3,0]
 413 [1,2,1,3,1]
 414 [1,2,1,3,2]
 415 [1,2,1,3,3]
 416 [1,2,2,0,0]
 417 [1,2,2,0,1]
 418 [1,2,2,0,2]
 419 [1,2,2,0,3]
 420 [1,2,2,1,0]
 421 [1,2,2,1,1]
 422 [1,2,2,1,2]
 423 [1,2,2,1,3]
 424 [1,2,2,2,0]
 425 [1,2,2,2,1]
 426 [1,2,2,2,2]
 427 [1,2,2,2,3]
 428 [1,2,2,3,0]
 429 [1,2,2,3,1]
 430 [1,2,2,3,2]
 431 [1,2,2,3,3]
 432 [1,2,3,0,0]
 433 [1,2,3,0,1]
 434 [1,2,3,0,2]
 435 [1,2,3,0,3]
 436 [1,2,3,1,0]
 437 [1,2,3,1,1]
 438 [1,2,3,1,2]
 439 [1,2,3,1,3]
 440 [1,2,3,2,0]
 441 [1,2,3,2,1]
 442 [1,2,3,2,2]
 443 [1,2,3,2,3]
 444 [1,2,3,3,0]
 445 [1,2,3,3,1]
 446 [1,2,3,3,2]
 447 [1,2,3,3,3]
 448 [1,3,0,0,0]
 449 [1,3,0,0,1]
 450 [1,3,0,0,2]
 451 [1,3,0,0,3]
 452 [1,3,0,1,0]
 453 [1,3,0,1,1]
 454 [1,3,0,1,2]
 455 [1,3,0,1,3]
 456 [1,3,0,2,0]
 457 [1,3,0,2,1]
 458 [1,3,0,2,2]
 459 [1,3,0,2,3]
 460 [1,3,0,3,0]
 461 [1,3,0,3,1]
 462 [1,3,0,3,2]
 463 [1,3,0,3,3]
 464 [1,3,1,0,0]
 465 [1,3,1,0,1]
 466 [1,3,1,0,2]
 467 [1,3,1,0,3]
 468 [1,3,1,1,0]
 469 [1,3,1,1,1]
 470 [1,3,1,1,2]
 471 [1,3,1,1,3]
 472 [1,3,1,2,0]
 473 [1,3,1,2,1]
 474 [1,3,1,2,2]
 475 [1,3,1,2,3]
 476 [1,3,1,3,0]
 477 [1,3,1,3,1]
 478 [1,3,1,3,2]
 479 [1,3,1,3,3]
 480 [1,3,2,0,0]
 481 [1,3,2,0,1]
 482 [1,3,2,0,2]
 483 [1,3,2,0,3]
 484 [1,3,2,1,0]
 485 [1,3,2,1,1]
 486 [1,3,2,1,2]
 487 [1,3,2,1,3]
 488 [1,3,2,2,0]
 489 [1,3,2,2,1]
 490 [1,3,2,2,2]
 491 [1,3,2,2,3]
 492 [1,3,2,3,0]
 493 [1,3,2,3,1]
 494 [1,3,2,3,2]
 495 [1,3,2,3,3]
 496 [1,3,3,0,0]
 497 [1,3,3,0,1]
 498 [1,3,3,0,2]
 499 [1,3,3,0,3]
 500 [1,3,3,1,0]
 501 [1,3,3,1,1]
 502 [1,3,3,1,2]
 503 [1,3,3,1,3]
 504 [1,3,3,2,0]
 505 [1,3,3,2,1]
 506 [1,3,3,2,2]
 507 [1,3,3,2,3]
 508 [1,3,3,3,0]
 509 [1,3,3,3,1]
 510 [1,3,3,3,2]
 511 [1,3,3,3,3]
 512 [2,0,0,0,0]
 513 [2,0,0,0,1]
 514 [2,0,0,0,2]
 515 [2,0,0,0,3]
 516 [2,0,0,1,0]
 517 [2,0,0,1,1]
 518 [2,0,0,1,2]
 519 [2,0,0,1,3]
 520 [2,0,0,2,0]
 521 [2,0,0,2,1]
 522 [2,0,0,2,2]
 523 [2,0,0,2,3]
 524 [2,0,0,3,0]
 525 [2,0,0,3,1]
 526 [2,0,0,3,2]
 527 [2,0,0,3,3]
 528 [2,0,1,0,0]
 529 [2,0,1,0,1]
 530 [2,0,1,0,2]
 531 [2,0,1,0,3]
 532 [2,0,1,1,0]
 533 [2,0,1,1,1]
 534 [2,0,1,1,2]
 535 [2,0,1,1,3]
 536 [2,0,1,2,0]
 537 [2,0,1,2,1]
 538 [2,0,1,2,2]
 539 [2,0,1,2,3]
 540 [2,0,1,3,0]
 541 [2,0,1,3,1]
 542 [2,0,1,3,2]
 543 [2,0,1,3,3]
 544 [2,0,2,0,0]
 545 [2,0,2,0,1]
 546 [2,0,2,0,2]
 547 [2,0,2,0,3]
 548 [2,0,2,1,0]
 549 [2,0,2,1,1]
 550 [2,0,2,1,2]
 551 [2,0,2,1,3]
 552 [2,0,2,2,0]
 553 [2,0,2,2,1]
 554 [2,0,2,2,2]
 555 [2,0,2,2,3]
 556 [2,0,2,3,0]
 557 [2,0,2,3,1]
 558 [2,0,2,3,2]
 559 [2,0,2,3,3]
 560 [2,0,3,0,0]
 561 [2,0,3,0,1]
 562 [2,0,3,0,2]
 563 [2,0,3,0,3]
 564 [2,0,3,1,0]
 565 [2,0,3,1,1]
 566 [2,0,3,1,2]
 567 [2,0,3,1,3]
 568 [2,0,3,2,0]
 569 [2,0,3,2,1]
 570 [2,0,3,2,2]
 571 [2,0,3,2,3]
 572 [2,0,3,3,0]
 573 [2,0,3,3,1]
 574 [2,0,3,3,2]
 575 [2,0,3,3,3]
 576 [2,1,0,0,0]
 577 [2,1,0,0,1]
 578 [2,1,0,0,2]
 579 [2,1,0,0,3]
 580 [2,1,0,1,0]
 581 [2,1,0,1,1]
 582 [2,1,0,1,2]
 583 [2,1,0,1,3]
 584 [2,1,0,2,0]
 585 [2,1,0,2,1]
 586 [2,1,0,2,2]
 587 [2,1,0,2,3]
 588 [2,1,0,3,0]
 589 [2,1,0,3,1]
 590 [2,1,0,3,2]
 591 [2,1,0,3,3]
 592 [2,1,1,0,0]
 593 [2,1,1,0,1]
 594 [2,1,1,0,2]
 595 [2,1,1,0,3]
 596 [2,1,1,1,0]
 597 [2,1,1,1,1]
 598 [2,1,1,1,2]
 599 [2,1,1,1,3]
 600 [2,1,1,2,0]
 601 [2,1,1,2,1]
 602 [2,1,1,2,2]
 603 [2,1,1,2,3]
 604 [2,1,1,3,0]
 605 [2,1,1,3,1]
 606 [2,1,1,3,2]
 607 [2,1,1,3,3]
 608 [2,1,2,0,0]
 609 [2,1,2,0,1]
 610 [2,1,2,0,2]
 611 [2,1,2,0,3]
 612 [2,1,2,1,0]
 613 [2,1,2,1,1]
 614 [2,1,2,1,2]
 615 [2,1,2,1,3]
 616 [2,1,2,2,0]
 617 [2,1,2,2,1]
 618 [2,1,2,2,2]
 619 [2,1,2,2,3]
 620 [2,1,2,3,0]
 621 [2,1,2,3,1]
 622 [2,1,2,3,2]
 623 [2,1,2,3,3]
 624 [2,1,3,0,0]
 625 [2,1,3,0,1]
 626 [2,1,3,0,2]
 627 [2,1,3,0,3]
 628 [2,1,3,1,0]
 629 [2,1,3,1,1]
 630 [2,1,3,1,2]
 631 [2,1,3,1,3]
 632 [2,1,3,2,0]
 633 [2,1,3,2,1]
 634 [2,1,3,2,2]
 635 [2,1,3,2,3]
 636 [2,1,3,3,0]
 637 [2,1,3,3,1]
 638 [2,1,3,3,2]
 639 [2,1,3,3,3]
 640 [2,2,0,0,0]
 641 [2,2,0,0,1]
 642 [2,2,0,0,2]
 643 [2,2,0,0,3]
 644 [2,2,0,1,0]
 645 [2,2,0,1,1]
 646 [2,2,0,1,2]
 647 [2,2,0,1,3]
 648 [2,2,0,2,0]
 649 [2,2,0,2,1]
 650 [2,2,0,2,2]
 651 [2,2,0,2,3]
 652 [2,2,0,3,0]
 653 [2,2,0,3,1]
 654 [2,2,0,3,2]
 655 [2,2,0,3,3]
 656 [2,2,1,0,0]
 657 [2,2,1,0,1]
 658 [2,2,1,0,2]
 659 [2,2,1,0,3]
 660 [2,2,1,1,0]
 661 [2,2,1,1,1]
 662 [2,2,1,1,2]
 663 [2,2,1,1,3]
 664 [2,2,1,2,0]
 665 [2,2,1,2,1]
 666 [2,2,1,2,2]
 667 [2,2,1,2,3]
 668 [2,2,1,3,0]
 669 [2,2,1,3,1]
 670 [2,2,1,3,2]
 671 [2,2,1,3,3]
 672 [2,2,2,0,0]
 673 [2,2,2,0,1]
 674 [2,2,2,0,2]
 675 [2,2,2,0,3]
 676 [2,2,2,1,0]
 677 [2,2,2,1,1]
 678 [2,2,2,1,2]
 679 [2,2,2,1,3]
 680 [2,2,2,2,0]
 681 [2,2,2,2,1]
 682 [2,2,2,2,2]
 683 [2,2,2,2,3]
 684 [2,2,2,3,0]
 685 [2,2,2,3,1]
 686 [2,2,2,3,2]
 687 [2,2,2,3,3]
 688 [2,2,3,0,0]
 689 [2,2,3,0,1]
 690 [2,2,3,0,2]
 691 [2,2,3,0,3]
 692 [2,2,3,1,0]
 693 [2,2,3,1,1]
 694 [2,2,3,1,2]
 695 [2,2,3,1,3]
 696 [2,2,3,2,0]
 697 [2,2,3,2,1]
 698 [2,2,3,2,2]
 699 [2,2,3,2,3]
 700 [2,2,3,3,0]
 701 [2,2,3,3,1]
 702 [2,2,3,3,2]
 703 [2,2,3,3,3]
 704 [2,3,0,0,0]
 705 [2,3,0,0,1]
 706 [2,3,0,0,2]
 707 [2,3,0,0,3]
 708 [2,3,0,1,0]
 709 [2,3,0,1,1]
 710 [2,3,0,1,2]
 711 [2,3,0,1,3]
 712 [2,3,0,2,0]
 713 [2,3,0,2,1]
 714 [2,3,0,2,2]
 715 [2,3,0,2,3]
 716 [2,3,0,3,0]
 717 [2,3,0,3,1]
 718 [2,3,0,3,2]
 719 [2,3,0,3,3]
 720 [2,3,1,0,0]
 721 [2,3,1,0,1]
 722 [2,3,1,0,2]
 723 [2,3,1,0,3]
 724 [2,3,1,1,0]
 725 [2,3,1,1,1]
 726 [2,3,1,1,2]
 727 [2,3,1,1,3]
 728 [2,3,1,2,0]
 729 [2,3,1,2,1]
 730 [2,3,1,2,2]
 731 [2,3,1,2,3]
 732 [2,3,1,3,0]
 733 [2,3,1,3,1]
 734 [2,3,1,3,2]
 735 [2,3,1,3,3]
 736 [2,3,2,0,0]
 737 [2,3,2,0,1]
 738 [2,3,2,0,2]
 739 [2,3,2,0,3]
 740 [2,3,2,1,0]
 741 [2,3,2,1,1]
 742 [2,3,2,1,2]
 743 [2,3,2,1,3]
 744 [2,3,2,2,0]
 745 [2,3,2,2,1]
 746 [2,3,2,2,2]
 747 [2,3,2,2,3]
 748 [2,3,2,3,0]
 749 [2,3,2,3,1]
 750 [2,3,2,3,2]
 751 [2,3,2,3,3]
 752 [2,3,3,0,0]
 753 [2,3,3,0,1]
 754 [2,3,3,0,2]
 755 [2,3,3,0,3]
 756 [2,3,3,1,0]
 757 [2,3,3,1,1]
 758 [2,3,3,1,2]
 759 [2,3,3,1,3]
 760 [2,3,3,2,0]
 761 [2,3,3,2,1]
 762 [2,3,3,2,2]
 763 [2,3,3,2,3]
 764 [2,3,3,3,0]
 765 [2,3,3,3,1]
 766 [2,3,3,3,2]
 767 [2,3,3,3,3]
 768 [3,0,0,0,0]
 769 [3,0,0,0,1]
 770 [3,0,0,0,2]
 771 [3,0,0,0,3]
 772 [3,0,0,1,0]
 773 [3,0,0,1,1]
 774 [3,0,0,1,2]
 775 [3,0,0,1,3]
 776 [3,0,0,2,0]
 777 [3,0,0,2,1]
 778 [3,0,0,2,2]
 779 [3,0,0,2,3]
 780 [3,0,0,3,0]
 781 [3,0,0,3,1]
 782 [3,0,0,3,2]
 783 [3,0,0,3,3]
 784 [3,0,1,0,0]
 785 [3,0,1,0,1]
 786 [3,0,1,0,2]
 787 [3,0,1,0,3]
 788 [3,0,1,1,0]
 789 [3,0,1,1,1]
 790 [3,0,1,1,2]
 791 [3,0,1,1,3]
 792 [3,0,1,2,0]
 793 [3,0,1,2,1]
 794 [3,0,1,2,2]
 795 [3,0,1,2,3]
 796 [3,0,1,3,0]
 797 [3,0,1,3,1]
 798 [3,0,1,3,2]
 799 [3,0,1,3,3]
 800 [3,0,2,0,0]
 801 [3,0,2,0,1]
 802 [3,0,2,0,2]
 803 [3,0,2,0,3]
 804 [3,0,2,1,0]
 805 [3,0,2,1,1]
 806 [3,0,2,1,2]
 807 [3,0,2,1,3]
 808 [3,0,2,2,0]
 809 [3,0,2,2,1]
 810 [3,0,2,2,2]
 811 [3,0,2,2,3]
 812 [3,0,2,3,0]
 813 [3,0,2,3,1]
 814 [3,0,2,3,2]
 815 [3,0,2,3,3]
 816 [3,0,3,0,0]
 817 [3,0,3,0,1]
 818 [3,0,3,0,2]
 819 [3,0,3,0,3]
 820 [3,0,3,1,0]
 821 [3,0,3,1,1]
 822 [3,0,3,1,2]
 823 [3,0,3,1,3]
 824 [3,0,3,2,0]
 825 [3,0,3,2,1]
 826 [3,0,3,2,2]
 827 [3,0,3,2,3]
 828 [3,0,3,3,0]
 829 [3,0,3,3,1]
 830 [3,0,3,3,2]
 831 [3,0,3,3,3]
 832 [3,1,0,0,0]
 833 [3,1,0,0,1]
 834 [3,1,0,0,2]
 835 [3,1,0,0,3]
 836 [3,1,0,1,0]
 837 [3,1,0,1,1]
 838 [3,1,0,1,2]
 839 [3,1,0,1,3]
 840 [3,1,0,2,0]
 841 [3,1,0,2,1]
 842 [3,1,0,2,2]
 843 [3,1,0,2,3]
 844 [3,1,0,3,0]
 845 [3,1,0,3,1]
 846 [3,1,0,3,2]
 847 [3,1,0,3,3]
 848 [3,1,1,0,0]
 849 [3,1,1,0,1]
 850 [3,1,1,0,2]
 851 [3,1,1,0,3]
 852 [3,1,1,1,0]
 853 [3,1,1,1,1]
 854 [3,1,1,1,2]
 855 [3,1,1,1,3]
 856 [3,1,1,2,0]
 857 [3,1,1,2,1]
 858 [3,1,1,2,2]
 859 [3,1,1,2,3]
 860 [3,1,1,3,0]
 861 [3,1,1,3,1]
 862 [3,1,1,3,2]
 863 [3,1,1,3,3]
 864 [3,1,2,0,0]
 865 [3,1,2,0,1]
 866 [3,1,2,0,2]
 867 [3,1,2,0,3]
 868 [3,1,2,1,0]
 869 [3,1,2,1,1]
 870 [3,1,2,1,2]
 871 [3,1,2,1,3]
 872 [3,1,2,2,0]
 873 [3,1,2,2,1]
 874 [3,1,2,2,2]
 875 [3,1,2,2,3]
 876 [3,1,2,3,0]
 877 [3,1,2,3,1]
 878 [3,1,2,3,2]
 879 [3,1,2,3,3]
 880 [3,1,3,0,0]
 881 [3,1,3,0,1]
 882 [3,1,3,0,2]
 883 [3,1,3,0,3]
 884 [3,1,3,1,0]
 885 [3,1,3,1,1]
 886 [3,1,3,1,2]
 887 [3,1,3,1,3]
 888 [3,1,3,2,0]
 889 [3,1,3,2,1]
 890 [3,1,3,2,2]
 891 [3,1,3,2,3]
 892 [3,1,3,3,0]
 893 [3,1,3,3,1]
 894 [3,1,3,3,2]
 895 [3,1,3,3,3]
 896 [3,2,0,0,0]
 897 [3,2,0,0,1]
 898 [3,2,0,0,2]
 899 [3,2,0,0,3]
 900 [3,2,0,1,0]
 901 [3,2,0,1,1]
 902 [3,2,0,1,2]
 903 [3,2,0,1,3]
 904 [3,2,0,2,0]
 905 [3,2,0,2,1]
 906 [3,2,0,2,2]
 907 [3,2,0,2,3]
 908 [3,2,0,3,0]
 909 [3,2,0,3,1]
 910 [3,2,0,3,2]
 911 [3,2,0,3,3]
 912 [3,2,1,0,0]
 913 [3,2,1,0,1]
 914 [3,2,1,0,2]
 915 [3,2,1,0,3]
 916 [3,2,1,1,0]
 917 [3,2,1,1,1]
 918 [3,2,1,1,2]
 919 [3,2,1,1,3]
 920 [3,2,1,2,0]
 921 [3,2,1,2,1]
 922 [3,2,1,2,2]
 923 [3,2,1,2,3]
 924 [3,2,1,3,0]
